dimension,location,count,mean_price,mean_price_per_m2,mean_area
district_name,Lâm Đồng - Lâm Hà,7,3000000000.0,7350627.501928022,451.57142857142856
district_name,Lâm Đồng - Lạc Dương,1,5800000000.0,23673469.387755103,245.0
district_name,Lâm Đồng - Đà Lạt,29,17418620689.655174,59971705.428631775,334.91241379310344
district_name,Lâm Đồng - Đạ Huoai,1,1450000000.0,1074074.0740740742,1350.0
district_name,Lâm Đồng - Đức Trọng,15,2578666666.6666665,8435107.702165829,306.3333333333333
district_name,Nam Định - Giao Thủy,9,1674322222.2222223,18015543.135164075,96.27777777777777
district_name,Nam Định - Hải Hậu,2,1725000000.0,19591503.267973855,87.5
district_name,Nam Định - Nam Định,2,2025000000.0,47519188.59649123,44.5
district_name,Nghệ An - Nghi Lộc,1,1200000000.0,3000000.0,400.0
district_name,Nghệ An - Thái Hòa,1,1600000000.0,8421052.631578946,190.0
district_name,Nghệ An - Vinh,14,7633500000.0,59658350.05785113,112.30714285714285
district_name,Ninh Bình - Hoa Lư,1,5000000000.0,55555555.55555555,90.0
district_name,Ninh Bình - Tam Điệp,1,6000000000.0,54545454.54545455,110.0
district_name,Ninh Thuận - Ninh Hải,1,1350000000.0,9183673.469387755,147.0
district_name,Ninh Thuận - Ninh Sơn,1,2320000000.0,3993115.3184165233,581.0
district_name,Ninh Thuận - Phan Rang - Tháp Chàm,6,2103333333.3333333,28393992.513291463,83.33333333333333
district_name,Ninh Thuận - Thuận Nam,1,1200000000.0,12000000.0,100.0
district_name,Phú Thọ - Thanh Sơn,3,2830000000.0,15449963.779113298,368.6666666666667
district_name,Phú Thọ - Thanh Thủy,3,5250000000.0,48365923.384791315,104.33333333333333
district_name,Phú Thọ - Việt Trì,6,6367500000.0,69288217.89657533,81.145
district_name,Phú Thọ - Đoan Hùng,1,12000000000.0,40000000.0,300.0
district_name,Phú Yên - Sông Cầu,1,8000000000.0,27303754.266211603,293.0
district_name,Phú Yên - Tuy An,1,9600000000.0,12631578.94736842,760.0
district_name,Phú Yên - Tuy Hòa,2,5579000000.0,51500000.0,113.0
district_name,Phú Yên - Đông Hòa,1,3570000000.0,8321678.321678322,429.0
district_name,Quảng Bình - Quảng Ninh,1,3200000000.0,8290155.440414508,386.0
district_name,Quảng Bình - Đồng Hới,2,10985000000.0,41000000.0,274.5
district_name,Quảng Nam - Duy Xuyên,2,3823000000.0,7577906.976744186,507.5
district_name,Quảng Nam - Hội An,16,12637375000.0,45210787.608002104,357.4125
district_name,Quảng Nam - Thăng Bình,3,1616666666.6666667,8687931.951089846,200.0
district_name,Quảng Nam - Điện Bàn,20,2821800000.0,18054136.118841298,166.32999999999998
district_name,Quảng Nam - Đại Lộc,3,778333333.3333334,4306244.549101692,183.66666666666666
district_name,Quảng Ngãi - Lý Sơn,1,6800000000.0,30493273.542600896,223.0
district_name,Quảng Ngãi - Mộ Đức,2,2400000000.0,17075354.73205676,180.0
district_name,Quảng Ngãi - Quảng Ngãi,4,3157500000.0,39901458.75251509,85.25
district_name,Quảng Ngãi - Sơn Tịnh,1,2600000000.0,12871287.128712872,202.0
district_name,Quảng Ngãi - Tư Nghĩa,2,1725000000.0,14670198.222829802,115.25
district_name,Quảng Ngãi - Đức Phổ,1,590000000.0,942492.0127795527,626.0
district_name,Quảng Ninh - Cô Tô,1,5320000000.0,25976562.5,204.8
district_name,Quảng Ninh - Cẩm Phả,1,1890000000.0,21976744.18604651,86.0
district_name,Quảng Ninh - Hạ Long,35,8733068571.428572,69113204.95441061,124.64742857142856
district_name,Quảng Ninh - Móng Cái,3,7356666666.666667,57817311.789863884,123.0
district_name,Quảng Ninh - Quảng Yên,7,2823485714.285714,13451898.988133311,185.87142857142857
district_name,Quảng Ninh - Uông Bí,2,2000000000.0,20477272.727272727,94.0
district_name,Quảng Ninh - Vân Đồn,6,13897600000.0,47056265.102338076,290.3
district_name,Quảng Ninh - Đông Triều,2,8095000000.0,24698101.462807346,259.5
district_name,Thanh Hóa - Hoằng Hóa,4,6125000000.0,29361111.111111112,181.0
